[pid 691834] 1680200962.002912 openssl.so->OPENSSL_init_ssl(0, 0, 0x7f2e32d09580, 0 <unfinished ...>
[pid 691834] 1680200962.003789 libssl.so.3->OPENSSL_init_crypto(76, 0, 0, 0) = 1
[pid 691834] 1680200962.080976 libssl.so.3->CRYPTO_THREAD_run_once(0x7f2e20f18964, 0x7f2e20e822e9, 0x7f2e20ce8d08, 0x7601 <unfinished ...>
[pid 691834] 1680200962.081128 libssl.so.3->CRYPTO_THREAD_run_once(0x7f2e20f18958, 0x7f2e20e7c779, 0x7ffdf5534d90, 0x7601 <unfinished ...>
[pid 691834] 1680200962.081212 libssl.so.3->COMP_zlib(0x7ffdf5534ce8, 0x7f2e32d9a100, 0x7ffdf5534cd0, 0x7601) = 0x7f2e20ce5c80
[pid 691834] 1680200962.081337 libssl.so.3->OPENSSL_sk_new(0x7f2e20e7c755, 0x7f2e32d9a100, 0x7ffdf5534cd0, 0x7601) = 0x1f148a0
[pid 691834] 1680200962.081439 libssl.so.3->COMP_get_type(0x7f2e20ce5c80, 0, 0x7f2e20e7c755, 6) = 0
[pid 691834] 1680200962.081550 <... CRYPTO_THREAD_run_once resumed> ) = 1
[pid 691834] 1680200962.081592 libssl.so.3->OPENSSL_atexit(0x7f2e20e82365, 0x7f2e20f185e0, 8, 2) = 1
[pid 691834] 1680200962.081704 <... CRYPTO_THREAD_run_once resumed> ) = 1
[pid 691834] 1680200962.081732 <... OPENSSL_init_ssl resumed> ) = 1
[pid 691834] 1680200962.081808 openssl.so->OpenSSL_version(0, 0xf04b0c, 0, 0x7f2e331fa270) = 0x7f2e20bde72c
[pid 691834] 1680200962.081933 openssl.so->Init_ossl_bn(0x7f2e20fc7330, 537, 0, 1) = 0
[pid 691834] 1680200962.082094 openssl.so->Init_ossl_cipher(0x7f2e22531900, 0xf2a10c, 0, 0x7f2e331fa270) = 0xf411
[pid 691834] 1680200962.082223 openssl.so->Init_ossl_config(0x7f2e20fc7330, 643, 0, 1 <unfinished ...>
[pid 691834] 1680200962.082339 openssl.so->CONF_get1_default_config_file(0x7f2e22531400, 0xad10c, 0, 0x7f2e331fa270) = 0x1f3c3d0
[pid 691834] 1680200962.082443 openssl.so->ossl_buf2str(0x1f3c3d0, 65, 65, 64 <unfinished ...>
[pid 691834] 1680200962.082525 openssl.so->ossl_str_new(0x1f3c3d0, 65, 0x7ffdf5534df4, 65) = 0x7f2e225310e0
[pid 691834] 1680200962.082629 openssl.so->CRYPTO_free(0x1f3c3d0, 0x7f2e20f73058, 132, 0x7f2e20f73058) = 0
[pid 691834] 1680200962.082724 <... ossl_buf2str resumed> ) = 0x7f2e225310e0
[pid 691834] 1680200962.082752 <... Init_ossl_config resumed> ) = 0
[pid 691834] 1680200962.082783 openssl.so->Init_ossl_digest(0x7f2e22531400, 0xf46b0c, 0, 0x7f2e331fa270) = 0
[pid 691834] 1680200962.102585 openssl.so->Init_ossl_hmac(0x7f2e20e3f0a8, 0xe110c, 0, 0x7f2e331fa270) = 0
[pid 691834] 1680200962.102709 openssl.so->Init_ossl_ns_spki(0x7f2e20e2f888, 0x7f2e20e3ece8, 0, 0x7f2e331fa270) = 0
[pid 691834] 1680200962.102825 openssl.so->Init_ossl_pkcs12(0x7f2e20e3e9c8, 0xf6290c, 0, 0x7f2e331fa270) = 0
[pid 691834] 1680200962.102940 openssl.so->Init_ossl_pkcs7(0x7f2e20e3e888, 0xf0c10c, 0, 0x7f2e331fa270) = 0
[pid 691834] 1680200962.103089 openssl.so->Init_ossl_pkey(0x7f2e20e3e428, 0xf90b0c, 0, 0x7f2e331fa270 <unfinished ...>
[pid 691834] 1680200962.103202 openssl.so->Init_ossl_rsa(0x7f2e20fc7330, 829, 0, 1) = 0
[pid 691834] 1680200962.103336 openssl.so->Init_ossl_dsa(0x7f2e20e3d8e8, 0xfab10c, 0, 0x7f2e331fa270) = 0
[pid 691834] 1680200962.103449 openssl.so->Init_ossl_dh(0x7f2e20e3d668, 0xfab10c, 0, 0x7f2e331fa270) = 0
[pid 691834] 1680200962.103562 openssl.so->Init_ossl_ec(0x7f2e20e3d3e8, 0xfab10c, 0, 0x7f2e331fa270) = 0xfd43
[pid 691834] 1680200962.103705 <... Init_ossl_pkey resumed> ) = 0xfd43
[pid 691834] 1680200962.103735 openssl.so->Init_ossl_rand(0xfd430c, 0x7f2e20e2c2e0, 0, 13) = 0
[pid 691834] 1680200962.103849 openssl.so->Init_ossl_ssl(0x7f2e20e3ca88, 0xfe1f0c, 0, 0x7f2e331fa270 <unfinished ...>
[pid 691834] 1680200962.103934 openssl.so->CRYPTO_get_ex_new_index(0, 0, 0x7f2e20f7708b, 0) = 1
[pid 691834] 1680200962.104037 openssl.so->CRYPTO_get_ex_new_index(0, 0, 0x7f2e20f770b4, 0) = 2
