[pid 774048] 1680302844.868156 openssl.so->OPENSSL_init_ssl(0, 0, 0x7f00edc4a580, 0 <unfinished ...>
[pid 774048] 1680302844.869027 libssl.so.3->OPENSSL_init_crypto(76, 0, 0, 0) = 1
[pid 774048] 1680302844.870491 libssl.so.3->CRYPTO_THREAD_run_once(0x7f00db428964, 0x7f00db3922e9, 0x7f00db2e7d08, 0x7601 <unfinished ...>
[pid 774048] 1680302844.870580 libssl.so.3->CRYPTO_THREAD_run_once(0x7f00db428958, 0x7f00db38c779, 0x7fffffa57210, 0x7601 <unfinished ...>
[pid 774048] 1680302844.870660 libssl.so.3->COMP_zlib(0x7fffffa57168, 0x7f00ed2db100, 0x7fffffa57150, 0x7601) = 0x7f00db2e4c80
[pid 774048] 1680302844.870758 libssl.so.3->OPENSSL_sk_new(0x7f00db38c755, 0x7f00ed2db100, 0x7fffffa57150, 0x7601) = 0x1757740
[pid 774048] 1680302844.870855 libssl.so.3->COMP_get_type(0x7f00db2e4c80, 0, 0x7f00db38c755, 6) = 0
[pid 774048] 1680302844.870968 <... CRYPTO_THREAD_run_once resumed> ) = 1
[pid 774048] 1680302844.871013 libssl.so.3->OPENSSL_atexit(0x7f00db392365, 0x7f00db4285e0, 8, 2) = 1
[pid 774048] 1680302844.871123 <... CRYPTO_THREAD_run_once resumed> ) = 1
[pid 774048] 1680302844.871149 <... OPENSSL_init_ssl resumed> ) = 1
[pid 774048] 1680302844.871203 openssl.so->OpenSSL_version(0, 0xf04b0c, 0, 0x7f00ed7fa270) = 0x7f00db1dd72c
[pid 774048] 1680302844.871320 openssl.so->Init_ossl_bn(0x7f00db4d7320, 537, 0, 1) = 0
[pid 774048] 1680302844.871468 openssl.so->Init_ossl_cipher(0x7f00dca417d8, 0xf2a10c, 0, 0x7f00ed7fa270) = 0xf411
[pid 774048] 1680302844.871590 openssl.so->Init_ossl_config(0x7f00db4d7320, 643, 0, 1 <unfinished ...>
[pid 774048] 1680302844.871693 openssl.so->CONF_get1_default_config_file(0x7f00dca412d8, 0xad10c, 0, 0x7f00ed7fa270) = 0x1755c60
[pid 774048] 1680302844.871797 openssl.so->ossl_buf2str(0x1755c60, 55, 55, 56 <unfinished ...>
[pid 774048] 1680302844.871882 openssl.so->ossl_str_new(0x1755c60, 55, 0x7fffffa57274, 55) = 0x7f00db5a5888
[pid 774048] 1680302844.871984 openssl.so->CRYPTO_free(0x1755c60, 0x7f00db483058, 132, 0x7f00db483058) = 0
[pid 774048] 1680302844.872078 <... ossl_buf2str resumed> ) = 0x7f00db5a5888
[pid 774048] 1680302844.872106 <... Init_ossl_config resumed> ) = 0
[pid 774048] 1680302844.872135 openssl.so->Init_ossl_digest(0x7f00dca412d8, 0xf46b0c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.890539 openssl.so->Init_ossl_hmac(0x7f00db34f0c0, 0xe110c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.890648 openssl.so->Init_ossl_ns_spki(0x7f00db33f918, 0x7f00db34ed00, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.890760 openssl.so->Init_ossl_pkcs12(0x7f00db34e9e0, 0xf6290c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.890877 openssl.so->Init_ossl_pkcs7(0x7f00db34e8a0, 0xf0c10c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.891091 openssl.so->Init_ossl_pkey(0x7f00db34e440, 0xf90b0c, 0, 0x7f00ed7fa270 <unfinished ...>
[pid 774048] 1680302844.891271 openssl.so->Init_ossl_rsa(0x7f00db4d7320, 829, 0, 1) = 0
[pid 774048] 1680302844.891412 openssl.so->Init_ossl_dsa(0x7f00db34d900, 0xfab10c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.891555 openssl.so->Init_ossl_dh(0x7f00db34d680, 0xfab10c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.891677 openssl.so->Init_ossl_ec(0x7f00db34d400, 0xfab10c, 0, 0x7f00ed7fa270) = 0xfd43
[pid 774048] 1680302844.891819 <... Init_ossl_pkey resumed> ) = 0xfd43
[pid 774048] 1680302844.891849 openssl.so->Init_ossl_rand(0xfd430c, 0x7f00db33c370, 0, 13) = 0
[pid 774048] 1680302844.891970 openssl.so->Init_ossl_ssl(0x7f00db34caa0, 0xfe1f0c, 0, 0x7f00ed7fa270 <unfinished ...>
[pid 774048] 1680302844.892055 openssl.so->CRYPTO_get_ex_new_index(0, 0, 0x7f00db48708b, 0) = 1
[pid 774048] 1680302844.892158 openssl.so->CRYPTO_get_ex_new_index(0, 0, 0x7f00db4870b4, 0) = 2
[pid 774048] 1680302844.892255 openssl.so->CRYPTO_get_ex_new_index(1, 0, 0x7f00db4870c8, 0) = 1
[pid 774048] 1680302844.892361 openssl.so->Init_ossl_ssl_session(0x14ea670, 32, 0xd00000042, 0) = 0
[pid 774048] 1680302844.892722 <... Init_ossl_ssl resumed> ) = 0x10973
[pid 774048] 1680302844.892752 openssl.so->Init_ossl_ts(0x7f00db33b200, 303, 0, 1) = 0
[pid 774048] 1680302844.892904 openssl.so->Init_ossl_x509(0x7f00db34a980, 0x10ca10c, 0, 0x7f00ed7fa270 <unfinished ...>
[pid 774048] 1680302844.892997 openssl.so->Init_ossl_x509attr(0x7f00dfaeff88, 0x1482a60, 0x7f00db49f718, 1635) = 0
[pid 774048] 1680302844.893106 openssl.so->Init_ossl_x509cert(0x7f00db34a340, 0xf0c10c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.893225 openssl.so->Init_ossl_x509crl(0x7f00db34a0c0, 0x8c0c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.893338 openssl.so->Init_ossl_x509ext(0x7f00db349e40, 0x10db10c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.893457 openssl.so->Init_ossl_x509name(0x7f00db349760, 0xf0c10c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.893579 openssl.so->Init_ossl_x509req(0x7f00db3494e0, 0x3aeb0c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.893688 openssl.so->Init_ossl_x509revoked(0x7f00db3491c0, 0x110510c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.893797 openssl.so->Init_ossl_x509store(0x7f00db348f40, 0xf0c10c, 0, 0x7f00ed7fa270 <unfinished ...>
[pid 774048] 1680302844.893882 openssl.so->CRYPTO_get_ex_new_index(5, 0, 0x7f00db48a0f2, 0) = 1
[pid 774048] 1680302844.894019 openssl.so->CRYPTO_get_ex_new_index(4, 0, 0x7f00db48a130, 0) = 1
[pid 774048] 1680302844.894145 <... Init_ossl_x509store resumed> ) = 0
[pid 774048] 1680302844.894256 openssl.so->X509_get_default_cert_area(0x7f00db34a520, 0x1188b0c, 0, 0x7f00ed7fa270) = 0x7f00db1f7880
[pid 774048] 1680302844.894360 openssl.so->X509_get_default_cert_dir(0x7f00db34a520, 0x1189b0c, 0, 0x7f00ed7fa270) = 0x7f00db1f78b0
[pid 774048] 1680302844.894461 openssl.so->X509_get_default_cert_file(0x7f00db34a520, 0x118ab0c, 0, 0x7f00ed7fa270) = 0x7f00db1f78e8
[pid 774048] 1680302844.894561 openssl.so->X509_get_default_cert_dir_env(0x7f00db34a520, 0x118bb0c, 0, 0x7f00ed7fa270) = 0x7f00db1f791d
[pid 774048] 1680302844.894659 openssl.so->X509_get_default_cert_file_env(0x7f00db34a520, 0x118cb0c, 0, 0x7f00ed7fa270) = 0x7f00db1f792a
[pid 774048] 1680302844.894757 openssl.so->X509_get_default_private_dir(0x7f00db34a520, 0x118db0c, 0, 0x7f00ed7fa270) = 0x7f00db1f7848
[pid 774048] 1680302844.894853 <... Init_ossl_x509 resumed> ) = 0
[pid 774048] 1680302844.894885 openssl.so->Init_ossl_ocsp(0x7f00db34a520, 0x118eb0c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.895041 openssl.so->Init_ossl_engine(0x7f00db3487c0, 0x11c2b0c, 0, 0x7f00ed7fa270) = 0
[pid 774048] 1680302844.895140 openssl.so->Init_ossl_asn1(0x7f00db3487c0, 0x11c2b0c, 0, 0x7f00ed7fa270) = 3025
[pid 774048] 1680302844.895371 openssl.so->Init_ossl_kdf(0xbd10c, 0x7f00dfaef488, 0, 14) = 0
[pid 774048] 1680302844.945205 openssl.so->ossl_to_der_if_possible(0x7f00db535290, 0, 0, 1) = 0x7f00db535290
[pid 774048] 1680302844.945416 openssl.so->ossl_obj2bio(0x7fffffa56ea8, 156, 1, 0xf0c10c <unfinished ...>
[pid 774048] 1680302844.945558 openssl.so->BIO_new_mem_buf(0x7f00db5352a8, 424, 0x7fffffa56e10, 424) = 0x17d8520
[pid 774048] 1680302844.945661 <... ossl_obj2bio resumed> ) = 0x17d8520
[pid 774048] 1680302844.945690 openssl.so->ASN1_d2i_bio(0x7f00daf75cf3, 0x7f00daf728a2, 0x17d8520, 0) = 0
[pid 774048] 1680302844.945808 openssl.so->BIO_ctrl(0x17d8520, 1, 0, 0) = 1
[pid 774048] 1680302844.945912 openssl.so->ossl_clear_error(0x17d8520, 0x16d5020, 0, 0x16961c0 <unfinished ...>
[pid 774048] 1680302844.945992 openssl.so->ERR_clear_error(0x17d8520, 0x16d5020, 0, 0x16961c0) = 0x171a930
[pid 774048] 1680302844.946088 <... ossl_clear_error resumed> ) = 0x171a930
[pid 774048] 1680302844.946136 openssl.so->ossl_pkey_read_generic(0x17d8520, 4, 1, 4096 <unfinished ...>
[pid 774048] 1680302844.946218 openssl.so->OSSL_DECODER_CTX_new_for_pkey(0x7fffffa56e48, 0x7f00db485459, 0, 0) = 0x17df2c0
[pid 774048] 1680302844.948385 openssl.so->OSSL_DECODER_CTX_set_pem_password_cb(0x17df2c0, 0x7f00db442cdd, 4, 0x7f00db442cdd) = 1
[pid 774048] 1680302844.948670 openssl.so->OSSL_DECODER_from_bio(0x17df2c0, 0x17d8520, 0x17d8520, 3072) = 0
[pid 774048] 1680302844.948981 openssl.so->ERR_print_errors_fp(0x7f00ed41e780, 0, 0x7f00db1de590, 29) = 1
[pid 774048] 1680302844.949137 openssl.so->BIO_ctrl(0x17d8520, 1, 0, 0) = 1
[pid 774048] 1680302844.949237 openssl.so->ossl_clear_error(0x17d8520, 0x16d5020, 0, 0x16961c0 <unfinished ...>
[pid 774048] 1680302844.949323 openssl.so->ERR_clear_error(0x17d8520, 0x16d5020, 0, 0x16961c0) = 0x171a930
[pid 774048] 1680302844.949419 <... ossl_clear_error resumed> ) = 0x171a930
[pid 774048] 1680302844.949448 openssl.so->OSSL_DECODER_CTX_set_input_type(0x17df2c0, 0x7f00db485489, 0x7f00db485489, 0x7f00db1d7290) = 1
[pid 774048] 1680302844.949545 openssl.so->OSSL_DECODER_CTX_set_selection(0x17df2c0, 135, 0x7f00db485489, 0x7f00db1d7290) = 1
[pid 774048] 1680302844.949643 openssl.so->OSSL_DECODER_from_bio(0x17df2c0, 0x17d8520, 0x17d8520, 3072) = 0
[pid 774048] 1680302844.949785 openssl.so->ERR_print_errors_fp(0x7f00ed41e780, 0, 0x7f00db1de590, 29) = 1
[pid 774048] 1680302844.949894 openssl.so->BIO_ctrl(0x17d8520, 2, 0, 0) = 1
[pid 774048] 1680302844.950039 openssl.so->BIO_ctrl(0x17d8520, 1, 0, 0) = 1
[pid 774048] 1680302844.950184 openssl.so->ossl_clear_error(0x17d8520, 0x16d5020, 0, 0x16961c0 <unfinished ...>
[pid 774048] 1680302844.950262 openssl.so->ERR_clear_error(0x17d8520, 0x16d5020, 0, 0x16961c0) = 0x171a930
[pid 774048] 1680302844.950358 <... ossl_clear_error resumed> ) = 0x171a930
[pid 774048] 1680302844.950387 openssl.so->OSSL_DECODER_CTX_set_selection(0x17df2c0, 0, 0, 0x7f00db1d7290) = 1
[pid 774048] 1680302844.950485 openssl.so->OSSL_DECODER_from_bio(0x17df2c0, 0x17d8520, 0x17d8520, 3072) = 1
[pid 774048] 1680302844.950638 openssl.so->OSSL_DECODER_CTX_free(0x17df2c0, 0, 0x7f00db1de590, 29) = 0
[pid 774048] 1680302844.950737 <... ossl_pkey_read_generic resumed> ) = 0x180d220
[pid 774048] 1680302844.950767 openssl.so->BIO_free(0x17d8520, 0x147c010, 0x180c7af, 5) = 1
[pid 774048] 1680302844.950870 openssl.so->EVP_PKEY_get_base_id(0x180d220, 0x147c010, 0x180c9b8, 7) = 28
[pid 774048] 1680302844.950985 openssl.so->X509_STORE_new(0x147daa0, 0, 0, 1045) = 0x180e6a0
[pid 774048] 1680302844.951149 openssl.so->X509_STORE_set_verify_cb(0x180e6a0, 0x7f00db4811b7, 0x7f00db4811b7, 0x7f00db48134a) = 0x180e6a0
[pid 774048] 1680302844.951252 openssl.so->X509_STORE_set_ex_data(0x180e6a0, 1, 4, 1) = 1
[pid 774048] 1680302844.951362 openssl.so->X509_STORE_set_default_paths(0x180e6a0, 0x7f00db49c640, 0x7f00db49c640, 0x7f00db4817cf) = 1
[pid 774048] 1680302844.951501 openssl.so->X509_STORE_set_flags(0x180e6a0, 8, 8, 0x7f00db481452) = 1
[pid 774048] 1680302844.953017 openssl.so->ossl_obj2bio(0x7fffffa57b58, 0, 0, 1 <unfinished ...>
[pid 774048] 1680302844.953097 openssl.so->BIO_new_mem_buf(0x1815760, 3272, 3272, 3272) = 0x1810f00
[pid 774048] 1680302844.953191 <... ossl_obj2bio resumed> ) = 0x1810f00
[pid 774048] 1680302844.953220 openssl.so->ossl_pem_passwd_value(4, 1, 1, 3072) = 4
[pid 774048] 1680302844.953317 openssl.so->ossl_pkey_read_generic(0x1810f00, 4, 4, 3072 <unfinished ...>
[pid 774048] 1680302844.953394 openssl.so->OSSL_DECODER_CTX_new_for_pkey(0x7fffffa57af8, 0x7f00db485459, 0, 0) = 0x1811900
[pid 774048] 1680302844.954628 openssl.so->OSSL_DECODER_CTX_set_pem_password_cb(0x1811900, 0x7f00db442cdd, 4, 0x7f00db442cdd) = 1
[pid 774048] 1680302844.954741 openssl.so->OSSL_DECODER_from_bio(0x1811900, 0x1810f00, 0x1810f00, 3072) = 0
[pid 774048] 1680302844.955017 openssl.so->ERR_print_errors_fp(0x7f00ed41e780, 0, 0x7f00db1de590, 29) = 1
[pid 774048] 1680302844.955167 openssl.so->BIO_ctrl(0x1810f00, 1, 0, 0) = 1
[pid 774048] 1680302844.955267 openssl.so->ossl_clear_error(0x1810f00, 0x1812b10, 0, 0x16fcb30 <unfinished ...>
[pid 774048] 1680302844.955346 openssl.so->ERR_clear_error(0x1810f00, 0x1812b10, 0, 0x16fcb30) = 0x171a930
[pid 774048] 1680302844.955442 <... ossl_clear_error resumed> ) = 0x171a930
[pid 774048] 1680302844.955470 openssl.so->OSSL_DECODER_CTX_set_input_type(0x1811900, 0x7f00db485489, 0x7f00db485489, 0x7f00db1d7290) = 1
[pid 774048] 1680302844.955566 openssl.so->OSSL_DECODER_CTX_set_selection(0x1811900, 135, 0x7f00db485489, 0x7f00db1d7290) = 1
[pid 774048] 1680302844.955662 openssl.so->OSSL_DECODER_from_bio(0x1811900, 0x1810f00, 0x1810f00, 3072) = 1
[pid 774048] 1680302844.955878 openssl.so->OSSL_DECODER_CTX_free(0x1811900, 0, 0x7f00db1de590, 29) = 0
[pid 774048] 1680302844.955980 <... ossl_pkey_read_generic resumed> ) = 0x18068d0
[pid 774048] 1680302844.956009 openssl.so->BIO_free(0x1810f00, 0x147c010, 0x1814911, 5) = 1
[pid 774048] 1680302844.956108 openssl.so->ossl_pkey_new(0x18068d0, 0x147c010, 0x180e3e0, 7 <unfinished ...>
[pid 774048] 1680302844.956186 openssl.so->EVP_PKEY_get_base_id(0x18068d0, 0x14810c0, 0, 0x147da70) = 6
[pid 774048] 1680302844.956281 <... ossl_pkey_new resumed> ) = 0x7f00ed213640
[pid 774048] 1680302844.956488 openssl.so->EVP_PKEY_free(0x180d220, 0x116bb0, 32, 0x1480600) = 0
[pid 774048] 1680302844.956590 openssl.so->X509_STORE_free(0x180e6a0, 0x7fffffa57d98, 29, 161) = 0
[pid 774048] 1680302844.956691 openssl.so->EVP_PKEY_free(0x18068d0, 0x7fffffa57d98, 29, 0x1480600) = 0
[pid 774048] 1680302844.957321 libssl.so.3->OPENSSL_sk_pop_free(0x1757740, 0x7f00db38fd34, 0x14bd8d0, 0x14bcf92) = 0
[DEBUG] Calling ossl_pkey_read_generic from ossl_dh_initialize.
[DEBUG] Calling OSSL_DECODER_from_bio 1.
009CC4ED007F0000:error:1E08010C:DECODER routines:OSSL_DECODER_from_bio:unsupported:crypto/encode_decode/decoder_lib.c:101:No supported data to decode. Input type: DER
[DEBUG] Calling OSSL_DECODER_from_bio 2.
